,tweet_id,timestamp,source,text_x,name,jpg_url,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweets,favorites,dog_stage,day_of_week,rating_numerator2,rating_denominator2,prediction
0,892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,0.0970486,bagel,0.08585110000000001,banana,0.07611,7322,34901,,Tue,13.0,10.0,Not likely a Dog
1,892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,Pekinese,0.0906465,papillon,0.0689569,5468,30224,,Tue,13.0,10.0,Highly likely a Dog
2,891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,malamute,0.078253,kelpie,0.0313789,3616,22749,,Mon,12.0,10.0,Highly likely a Dog
3,891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,0.17027799999999998,Labrador_retriever,0.168086,spatula,0.0408359,7516,38172,,Sun,13.0,10.0,Inconclusive
4,891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,English_springer,0.22577,German_short-haired_pointer,0.175219,8074,36441,,Sat,12.0,10.0,Highly likely a Dog
5,891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,Unknown,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,Irish_terrier,0.116317,Indian_elephant,0.07690219999999999,2708,18390,,Sat,13.0,10.0,Likely a Dog
6,890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,Border_collie,0.199287,ice_lolly,0.193548,1750,10696,,Fri,13.0,10.0,Likely a Dog
7,890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,Unknown,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,Eskimo_dog,0.17840599999999998,Pembroke,0.0765069,16428,58786,,Fri,13.0,10.0,Highly likely a Dog
8,890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,Irish_setter,0.193054,Chesapeake_Bay_retriever,0.118184,3757,25306,,Thu,13.0,10.0,Highly likely a Dog
9,890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,Cardigan,0.451038,Chihuahua,0.0292482,6352,28871,doggo,Wed,14.0,10.0,Highly likely a Dog
